gender,age,ht_3,ht_5,ht_10,ht_25,ht_50,ht_75,ht_90,ht_95,ht_97,wt_3,wt_5,wt_10,wt_25,wt_50,wt_75,wt_90,wt_95,wt_97,bmi_3,bmi_5,bmi_10,bmi_25,bmi_50,bmi_75,bmi_85,bmi_90,bmi_95,bmi_97
F,11.70833333,53.14933071,53.84917323,54.92401575,56.7126378,58.68952756,60.65598425,62.41724409,63.46751969,64.14814961,63.75465621,66.17775405,70.2475928,78.140419,88.97866162,102.8409815,119.0328131,131.0722429,140.1202679,14.35122,14.68347,15.24332,16.34069,17.88929,19.98063,21.45497756,22.66070517,24.89106241,26.74837878
F,11.79166667,53.38476378,54.08665354,55.1638189,56.95437008,58.93066929,60.89370079,62.64968504,63.69582677,64.37338583,64.35475377,66.79778138,70.90132877,78.86049199,89.79236481,103.7792678,120.1244968,132.2839902,141.4257557,14.3864,14.72025,15.28283,16.38568,17.94227,20.0448,21.52726655,22.73976686,24.98291353,26.85109867
F,11.875,53.62389764,54.3269685,55.40531496,57.19606299,59.17007874,61.12846457,62.87822835,63.91984252,64.59409449,64.95877556,67.42102745,71.55713708,79.58052088,90.60329019,104.7119763,121.2083541,133.4870514,142.7224911,14.42195,14.75737,15.32264,16.43087,17.99531,20.10884,21.5993141,22.81850056,25.07430281,26.95327681
F,11.95833333,53.8657874,54.5692126,55.64755906,57.43673228,59.40692913,61.35940945,63.10220472,64.13893701,64.80972441,65.56641293,68.04720567,72.21470909,80.30006475,91.41095272,105.6384238,122.2835914,134.6806767,144.0097247,14.45788,14.79484,15.36274,16.47625,18.04838,20.17274,21.6711056,22.89689172,25.16521691,27.05490205
F,12.04166667,54.10948819,54.81244094,55.88952756,57.67551181,59.6403937,61.58582677,63.32098425,64.35255906,65.01980315,66.17740131,68.67598534,72.87362592,81.01868269,92.21480127,106.5580149,123.3495472,135.8641388,145.2867288,14.49415,14.83262,15.40311,16.52179,18.10149,20.23648,21.74262677,22.97492622,25.25564304,27.15596389
F,12.125,54.35385827,55.05551181,56.13027559,57.91137795,59.86956693,61.80704724,63.53401575,64.56023622,65.2238189,66.79143207,69.30703577,73.53355687,81.73595581,93.01430671,107.4700882,124.405472,137.036688,146.5527318,14.53078,14.87073,15.44374,16.5675,18.15461,20.30006,21.81386368,23.05259037,25.34556897,27.25645252
F,12.20833333,54.59779528,55.29740157,56.36877953,58.14350394,60.09374016,62.02240157,63.7407874,64.76153543,65.42149606,67.40819657,69.94002627,74.1941492,82.45139909,93.80896199,108.3740706,125.4506824,138.1975747,147.8070283,14.56773,14.90914,15.48462,16.61335,18.20774,20.36346,21.88480271,23.12987089,25.43498301,27.35635878
F,12.29166667,54.84019685,55.53700787,56.60397638,58.37098425,60.31220472,62.23137795,63.94082677,64.95610236,65.61240157,68.02732,70.57460409,74.854962,83.16461571,94.598238,109.2693007,126.4844948,139.3461377,149.0489348,14.60502,14.94784,15.52574,16.65934,18.26085,20.42667,21.95543061,23.20675491,25.52387405,27.45567419
F,12.375,55.07984252,55.77326772,56.83492126,58.5930315,60.52429134,62.43346457,64.1338189,65.14362205,65.79637795,68.64851578,71.21039445,75.51564252,83.87514269,95.38160562,110.1552052,127.506248,140.4816492,150.2777239,14.64262,14.98682,15.5671,16.70546,18.31395,20.48967,22.02573445,23.28322999,25.61223153,27.55439092
F,12.45833333,55.31570866,56.00511811,57.06070866,58.80893701,60.72948819,62.62826772,64.31948819,65.32389764,65.97322835,69.27138707,71.84706666,76.17581598,84.5825391,96.15853575,111.0312109,128.5152585,141.6034481,151.4927782,14.68052,15.02607,15.60867,16.75168,18.36701,20.55245,22.09570166,23.35928412,25.70004544,27.65250183
F,12.54166667,55.54665354,56.23161417,57.28051181,59.01807087,60.9273622,62.81547244,64.49759843,65.49677165,66.14279528,69.89560317,72.48420184,76.83504145,85.28636404,96.92858747,111.8967006,129.510931,142.7108728,152.6934583,14.71871,15.06559,15.65044,16.79801,18.42002,20.61499,22.16531999,23.43490568,25.78730634,27.75000043
F,12.625,55.77173228,56.45185039,57.49362205,59.21984252,61.11751969,62.99488189,64.6680315,65.66216535,66.305,70.52081136,73.1214693,77.49294416,85.98617657,97.69120962,112.7511673,130.4926262,143.8033061,153.8791029,14.75718,15.10535,15.69241,16.84442,18.47298,20.67729,22.23457754,23.51008349,25.87400532,27.8468809
F,12.70833333,55.99007874,56.66511811,57.69937008,59.41389764,61.29968504,63.16633858,64.83074803,65.82003937,66.45984252,71.14659275,73.75842811,78.14912725,86.68151371,98.44591719,113.5940155,131.459749,144.8801527,155.0491389,14.79592,15.14535,15.73456,16.89091,18.52586,20.73934,22.30346276,23.58480678,25.96013405,27.9431381
F,12.79166667,56.20094488,56.87070866,57.89724409,59.59980315,61.47370079,63.32976378,64.98570866,65.9703937,66.6073622,71.77259459,74.39472553,78.80314982,87.37197865,99.19226924,114.4247384,132.411748,145.9407954,156.2030149,14.83492,15.18558,15.77689,16.93746,18.57866,20.80112,22.37196443,23.65906521,26.04568474,28.03876753
F,12.875,56.40370079,57.06811024,58.08681102,59.77740157,61.63948819,63.48519685,65.13299213,66.11330709,66.74767717,72.39839803,75.02996474,79.45463708,88.05713046,99.92980282,115.2428508,133.348028,146.984683,157.34018,14.87417,15.22602,15.81937,16.98407,18.63136,20.86261,22.44007167,23.73284885,26.13065016,28.13376538
F,12.95833333,56.59779528,57.25688976,58.26779528,59.94653543,61.79700787,63.63267717,65.27275591,66.24893701,66.88082677,73.02365031,75.66372685,80.10319219,88.7365282,100.6580329,116.0478237,134.2681041,148.0113084,158.4601049,14.91365,15.26666,15.86199,17.03071,18.68396,20.92382,22.50777397,23.80614819,26.21502362,28.22812848
F,13.04166667,56.78295276,57.43677165,58.44,60.10712598,61.94633858,63.7723622,65.40507874,66.37744094,67.00704724,73.64791051,76.29561503,80.74835219,89.40977506,101.3765626,116.8392382,135.1714472,149.0201425,159.5623046,14.95335,15.30749,15.90476,17.07738,18.73643,20.98472,22.57506113,23.87895414,26.298799,28.32185435
F,13.125,56.95889764,57.60755906,58.60334646,60.2592126,62.08759843,63.90440945,65.53015748,66.49897638,67.12649606,74.27078179,76.92523246,81.38976433,90.07647419,102.0849511,117.6166313,136.0576162,150.0107003,160.6463383,14.99326,15.34849,15.94764,17.12407,18.78878,21.04531,22.6419233,23.95125804,26.38197072,28.41494115
F,13.20833333,57.12547244,57.7692126,58.75783465,60.40291339,62.22090551,64.02905512,65.64830709,66.61377953,67.23940945,74.89186734,77.55216025,82.02700974,90.73618468,102.7828016,118.3795842,136.9261704,150.982585,161.7117651,15.03336,15.38966,15.99063,17.17076,18.84098,21.10557,22.70835101,24.02305164,26.46453376,28.50738772
F,13.29166667,57.28271654,57.92177165,58.90354331,60.53834646,62.3465748,64.14649606,65.75968504,66.72212598,67.34594488,75.51074827,78.17597952,82.65969159,91.38857583,103.4697391,119.127722,137.7766687,151.9353336,162.75821,15.07365,15.43098,16.03372,17.21744,18.89302,21.1655,22.77433508,24.0943271,26.54648363,28.59919355
F,13.375,57.43070866,58.06531496,59.04066929,60.6657874,62.46480315,64.25704724,65.8646063,66.8242126,67.44645669,76.12698365,78.7963155,83.28741304,92.03322876,104.145411,119.8606479,138.6087584,152.8685933,163.7852983,15.11411,15.47244,16.0769,17.26409,18.9449,21.22508,22.83986672,24.16507702,26.62781643,28.69035881
F,13.45833333,57.56964567,58.20003937,59.16937008,60.78547244,62.57586614,64.36102362,65.96334646,66.92035433,67.54110236,76.7401987,79.41272725,83.90975522,92.6697687,104.8094646,120.5780533,139.4221089,153.7819894,164.7926995,15.15473,15.51403,16.12014,17.31072,18.9966,21.28431,22.90493747,24.23529442,26.70852876,28.7808843
F,13.54166667,57.69972441,58.32625984,59.29,60.89767717,62.68011811,64.45866142,66.05614173,67.0107874,67.63019685,77.3499525,80.02483999,84.52638743,93.29788698,105.4615471,121.2796515,140.2163673,154.6752574,165.7801267,15.19549,15.55572,16.16345,17.35729,19.04811,21.34317,22.96953922,24.30497273,26.78861781,28.8707715
F,13.625,57.82125984,58.4442126,59.40279528,61.00275591,62.77783465,64.55027559,66.14338583,67.09582677,67.71397638,77.95584822,80.63223485,85.13686876,93.91720883,106.101416,121.965134,140.9912692,155.5480664,166.7473155,15.23639,15.59752,16.2068,17.40381,19.09942,21.40166,23.03366421,24.37410579,26.8680813,28.96002256
F,13.70833333,57.9346063,58.55429134,59.50814961,61.10102362,62.86937008,64.63625984,66.22527559,67.17570866,67.79275591,78.55742288,81.23449294,85.7408685,94.5274256,106.7287627,122.6342583,141.7465941,156.4002182,167.6940455,15.2774,15.63941,16.25018,17.45026,19.15052,21.45977,23.09730502,24.4426879,26.94691749,29.04864025
F,13.79166667,58.04011811,58.65688976,59.60641732,61.19283465,62.95503937,64.71685039,66.30216535,67.2507874,67.86677165,79.15432374,81.83126153,86.33803392,95.12822864,107.3433446,123.2868258,142.4821435,157.2314701,168.6200961,15.31852,15.68136,16.29358,17.49662,19.20139,21.51749,23.16045458,24.51071375,27.02512521,29.13662805
